Job Title,Job Description,Skills,Certifications
Admin Big Data,"Responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. Requires expertise in Hadoop, Spark, and data warehousing solutions.","Hadoop, Spark, MapReduce, Data Lakes, Data Warehousing, Big Data Architecture, NoSQL, Data Modeling, ETL, Cloud Computing, AWS, Azure, Data Governance, Security","Cloudera Certified Professional (CCP), Hortonworks Certified Associate (HCA), AWS Certified Big Data – Specialty"
Ansible Operations Engineer,"Focuses on automating IT processes using Ansible. Responsibilities include writing playbooks, managing configurations, and ensuring system reliability.","Ansible, Linux, Automation, Cloud Platforms, CI/CD, Infrastructure as Code, Kubernetes, Docker, AWS, Terraform, Python, Scripting, Networking","Red Hat Certified Specialist in Ansible Automation, AWS Certified DevOps Engineer – Professional"
Artifactory Administrator,"Manages the Artifactory repository for build artifacts. Responsibilities include configuring repositories, managing access permissions, and integrating with CI/CD pipelines.","Artifactory, CI/CD, Jenkins, Docker, Maven, Gradle, Build Automation, Version Control, Git, Cloud Computing, Linux, JFrog CLI","JFrog Artifactory Certification, DevOps Institute Certifications"
Artificial intelligence / Machine Learning Engineer,No description available,,
Artificial Intelligence / Machine Learning Leader,"Leads AI/ML projects and teams, defining strategy and overseeing implementation. Requires strong leadership skills and knowledge of AI technologies.","AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Artificial Intelligence / Machine Learning Sr.Leader,"Senior role overseeing multiple AI/ML initiatives. Responsible for strategic planning, team management, and ensuring alignment with business goals.","AI Strategy, Machine Learning, Team Management, Project Management, Cloud Computing, Data Science, Deep Learning, Communication, Budgeting, Stakeholder Management, Innovation, Mentoring","Certified Artificial Intelligence Practitioner (CAIP), AI-900: Microsoft Azure AI Fundamentals"
Artificial intelligence Architect,"Designs AI systems and architecture. Responsible for selecting appropriate technologies, ensuring scalability, and integrating AI solutions into existing systems.","AI Architecture, Machine Learning, Cloud Computing, Data Science, Deep Learning, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Solutions Architect – Professional"
Artificial Intelligence Researcher,Conducts research in AI to develop new algorithms and models. Publishes findings in scientific journals and collaborates with academic institutions.,"Machine Learning, Deep Learning, Research Methods, Python, TensorFlow, PyTorch, Data Analysis, Statistical Analysis, Algorithm Design, Scientific Writing","Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Big Data Architect,"Designs big data solutions and architecture. Responsible for data modeling, ETL processes, and ensuring the performance of big data systems.","Hadoop, Spark, Kafka, MapReduce, NoSQL, Data Warehousing, Cloud Computing, AWS, Azure, Data Lakes, Data Modeling, ETL, Data Governance, Security","Cloudera Certified Data Architect, AWS Certified Solutions Architect – Associate"
Big Data Engineer,"Builds and maintains big data pipelines. Responsible for data ingestion, transformation, and storage using technologies like Hadoop and Spark.","Hadoop, Spark, Kafka, SQL, NoSQL, Python, Java, Scala, Data Pipelines, ETL, Data Warehousing, Cloud Computing","Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
Big Data Specialist,Analyzes large datasets to extract insights. Requires knowledge of statistical analysis tools and big data technologies.,"Hadoop, Spark, Data Analysis, Data Visualization, SQL, NoSQL, Data Modeling, ETL, Cloud Computing, Data Mining, Statistical Analysis","Certified Big Data Analytics (CBDA), IBM Certified Data Engineer - Big Data"
Build and Release Engineer,"Manages the build process for software applications. Responsible for automating builds, managing release schedules, and ensuring software quality.","CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Build Engineer,Focuses on building software applications from source code. Responsibilities include configuring build environments and troubleshooting build issues.,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control","AWS Certified Developer – Associate, Jenkins Certification"
Chef Operations Engineer,"Utilizes Chef for configuration management. Responsible for writing cookbooks, managing infrastructure as code, and automating deployment processes.","Chef, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Chef Certification, AWS Certified DevOps Engineer – Professional"
Data Analysts,"Analyzes datasets to provide actionable insights. Requires proficiency in SQL, Excel, and data visualization tools like Tableau or Power BI.","SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling","Microsoft Certified: Data Analyst Associate, Tableau Desktop Specialist"
Data Architect,"Designs data models and architecture for databases. Responsible for ensuring data quality, integrity, and security across systems.","Data Modeling, Data Warehousing, ETL, SQL, NoSQL, Data Governance, Cloud Computing, AWS, Azure, Data Integration, Data Security","IBM Certified Data Architect - Big Data, Google Cloud Professional Data Architect"
DevOps Architect,Designs DevOps frameworks that enhance collaboration between development/operations teams while implementing CI/CD practices.,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking","AWS Certified Solutions Architect – Professional, Google Cloud Professional DevOps Engineer"
DevOps Engineer,Implements DevOps practices by automating software delivery processes using tools like Jenkins or GitLab CI.,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Scripting, Cloud Computing","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
ELK Engineer,"Implements ELK stack (Elasticsearch, Logstash, Kibana) solutions for log management/analysis while creating visualizations/dashboards.","Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security","Elastic Certified Engineer, Elastic Stack Certification"
Gerrit Administrator,"Administers Gerrit code review tool. Responsibilities include managing user access, configuring project settings, and facilitating code reviews.","Gerrit, Git, Code Review, Linux, Automation, Scripting, Version Control",Gerrit Code Review Certification (if available)
Jenkins Engineer,Manages Jenkins CI/CD server to automate software builds/deployments. Responsibilities include configuring jobs/plugins and maintaining build pipelines.,"Jenkins, CI/CD, Automation, Groovy, Scripting, Linux, Docker, Kubernetes, Build Automation, Version Control","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Jira Administrator,"Manages Jira project management tool. Responsibilities include configuring workflows, managing user permissions, and supporting teams in Agile methodologies.","Jira, Atlassian Suite, Agile Methodologies, Workflow Configuration, User Management, Project Management","Atlassian Jira Administration Certification, AgilePM Certification"
Kubernetes Operations Engineer,"Manages Kubernetes clusters for container orchestration. Responsibilities include deploying applications, monitoring cluster health, and troubleshooting issues.","Kubernetes, Docker, Linux, Cloud Computing, AWS, Azure, Networking, CI/CD, Automation, Security","Certified Kubernetes Administrator (CKA), CNCF Kubernetes Security Specialist (CKS)"
Machine learning Architect,"Designs machine learning systems architecture. Responsible for selecting appropriate frameworks, designing workflows, and ensuring scalability of ML models.","Machine Learning, Deep Learning, Cloud Computing, Data Science, System Design, AWS, Azure, Scalability, Security, Model Deployment","Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Machine Learning Engineer,Builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,"Python, Machine Learning, TensorFlow, Keras, PyTorch, Data Analysis, Deep Learning, Natural Language Processing, Computer Vision, Data Science, Algorithms","Microsoft Certified: Azure Data Scientist Associate, TensorFlow Developer Certificate"
Operations Engineer,"Oversees IT operations to ensure system reliability. Responsibilities include monitoring system performance, troubleshooting issues, and implementing improvements.","Linux, Windows Server, Networking, Troubleshooting, Scripting, Automation, Cloud Computing, Monitoring, System Administration","ITIL Foundation Certification, CompTIA IT Fundamentals+"
Principle Engineer in Artificial Intelligence,"Leads AI initiatives within an organization. Responsibilities include strategic planning, mentoring teams, and driving innovation in AI technologies.","AI Strategy, Machine Learning, Deep Learning, Data Science, Python, TensorFlow, Cloud Computing, System Design, Mentoring, Innovation","AI-900: Microsoft Azure AI Fundamentals, Certified Artificial Intelligence Practitioner (CAIP)"
Principle Engineer in Big Data,Senior role responsible for big data strategy implementation. Oversees architecture design decisions and ensures compliance with best practices.,"Big Data Architecture, Hadoop, Spark, Kafka, Data Warehousing, Cloud Computing, Data Governance, Mentoring, Innovation","Cloudera Certified Professional (CCP), Google Cloud Professional Data Engineer"
Principle Engineer in Data Analysis,Leads data analysis projects to derive insights from complex datasets. Requires strong analytical skills and experience with statistical methods.,"Data Analysis, Statistics, SQL, Python, Data Visualization, Data Modeling, Mentoring, Innovation","Certified Analytics Professional (CAP), Microsoft Certified: Data Analyst Associate"
Principle Engineer in Machine Learning,Senior role overseeing machine learning projects. Responsible for guiding teams on best practices in model development and deployment.,"Machine Learning, Deep Learning, Python, TensorFlow, Cloud Computing, Model Deployment, Mentoring, Innovation","Google Cloud Professional Machine Learning Engineer, AWS Certified Machine Learning – Specialty"
Production Support Engineer,"Provides support for production systems to ensure uptime. Responsibilities include monitoring applications, troubleshooting issues, and performing root cause analysis.","Troubleshooting, Linux, Windows Server, Scripting, Networking, Databases, Monitoring, Automation, ITIL","ITIL Foundation Certification, CompTIA A+"
Puppet Operations Engineer,Utilizes Puppet for configuration management tasks. Responsible for writing manifests/scripts to automate system configurations across environments.,"Puppet, Ruby, Automation, Configuration Management, Linux, Cloud Computing, AWS, Azure, Infrastructure as Code","Puppet Certification, AWS Certified DevOps Engineer – Professional"
Senior Build and Release Engineer,Leads build/release engineering efforts within an organization. Manages complex build environments while ensuring timely delivery of software releases.,"CI/CD, Jenkins, Git, Maven, Gradle, Docker, Kubernetes, Automation, Scripting, Linux, Build Tools, Leadership, Mentoring","Certified Jenkins Engineer, AWS Certified DevOps Engineer – Professional"
Senior Build Engineer,Oversees build processes for software projects at a senior level. Responsible for optimizing build times and maintaining build infrastructure.,"Maven, Gradle, Ant, Jenkins, CI/CD, Git, Build Automation, Scripting, Linux, Version Control, Leadership, Mentoring","Jenkins Certification, AWS Certified Developer – Associate"
Senior DevOps Engineer,Drives DevOps initiatives at a senior level. Responsibilities include mentoring team members and implementing automation strategies.,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Cloud Computing, Leadership","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
Senior Site reliability Engineer,No description available,"SRE, Monitoring, Kubernetes, Docker, Cloud Platforms, Linux, Automation, DevOps, CI/CD, Python, Networking, Leadership",
Site Reliability Engineer (Kubernetes – Docker),Focuses on maintaining high availability of containerized applications using Kubernetes/Docker while implementing SRE best practices.,"SRE, Kubernetes, Docker, Linux, Cloud Computing, Monitoring, Automation, CI/CD, Networking, Troubleshooting","Certified Kubernetes Administrator (CKA), Docker Certified Associate"
Splunk Engineer,"Implements Splunk solutions for log analysis, security monitoring, and operational intelligence. Responsible for creating dashboards/alerts and managing data ingestion.","Splunk, Data Analysis, Log Management, Security, Dashboards, Alerting, Scripting, Linux, AWS, Azure","Splunk Core Certified Power User, Splunk Enterprise Security Admin"
.NET Developer,Develops applications using .NET framework technologies including C#. Responsibilities include application design/development/testing.,".NET, C#, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing","Microsoft Certified: .NET Developer, MCP: Programming in C#"
ACCESSIBILITY SPECIALIST,"Ensures digital content meets accessibility standards (e.g., WCAG). Conducts audits/reviews to improve accessibility compliance.","WCAG, ARIA, Accessibility Testing, Assistive Technologies, HTML, CSS, JavaScript, UI/UX, ADA Compliance","IAAP CPACC, W3C Web Accessibility Specialist"
AGILE PROJECT MANAGER,"Manages Agile projects by facilitating Scrum ceremonies (e.g., sprint planning). Ensures team adherence to Agile principles/methodologies.","Agile Methodologies, Scrum, Kanban, Project Management, Stakeholder Management, Communication, Jira, Confluence","Project Management Professional (PMP), Certified ScrumMaster (CSM)"
Android Developer,Develops mobile applications using Android SDK/Java/Kotlin technologies while focusing on UI/UX design principles.,"Android SDK, Java, Kotlin, UI/UX Design, REST APIs, SQL, Android Studio, Firebase, Mobile Development","Associate Android Developer, Google Play Store Certification"
Ansible Automation Engineer,Automates IT tasks using Ansible playbooks/scripts while managing configurations across environments.,"Ansible, Automation, Infrastructure as Code, Cloud Computing, AWS, Azure, Linux, Python, Scripting, Networking","Red Hat Ansible Automation Certification, AWS Certified DevOps Engineer - Professional"
AppDynamics Engineer,Monitors application performance using AppDynamics tools while providing insights into application health/performance metrics.,"AppDynamics, Application Performance Monitoring, Troubleshooting, Java, .NET, Cloud Computing, Metrics, Alerting","AppDynamics Certification, Cisco Application Centric Infrastructure (ACI)"
Application Security Engineer,Focuses on securing applications through vulnerability assessments/pentesting while implementing security best practices.,"Application Security, SAST, DAST, Penetration Testing, Vulnerability Management, OWASP, Secure Coding, Cloud Security","Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH)"
Artifactory Engineer,Manages Artifactory repositories while integrating them into CI/CD pipelines to ensure efficient artifact management.,"Artifactory, CI/CD, Jenkins, Maven, Gradle, Docker, Build Automation, Version Control, Git, Cloud Computing, Linux","JFrog Artifactory Certification, DevOps Institute Certifications"
AWS DevOps Engineer,Implements DevOps practices on AWS platform while utilizing services like EC2/S3/Lambda to automate deployments.,"AWS, DevOps, CI/CD, Terraform, Ansible, CloudFormation, Docker, Kubernetes, Linux, Automation, Scripting","AWS Certified DevOps Engineer - Professional, Docker Certified Associate"
AWS Solutions Architect,Designs scalable cloud architectures on AWS platform while providing guidance on best practices/security compliance.,"AWS, Cloud Architecture, AWS Lambda, EC2, S3, CloudFormation, DevOps, Terraform, Security, Cloud Security, Networking","AWS Certified Solutions Architect - Associate, AWS Certified Solutions Architect - Professional"
Azure DevOps Engineer,Implements DevOps solutions on Azure platform while utilizing Azure DevOps services/tools to automate deployments.,"Azure, DevOps, CI/CD, Terraform, Ansible, ARM Templates, Docker, Kubernetes, Linux, Automation, Scripting","Microsoft Certified: Azure DevOps Solutions Expert, Azure Fundamentals"
Bamboo Engineer,"Manages CI/CD processes using Bamboo. Responsibilities include configuring build plans, integrating with version control systems, and ensuring smooth deployment pipelines.","Bamboo, CI/CD, Atlassian Suite, Automation, Scripting, Build Automation, Version Control, Git","Atlassian Bamboo Certification, CI/CD Certifications"
Bitbucket Engineer,"Administers Bitbucket repositories for version control. Responsible for managing user permissions, branch strategies, and pull requests.","Bitbucket, Git, Version Control, CI/CD, Atlassian Suite, Branching Strategies, Code Review","Atlassian Bitbucket Certification, GitHub Proficiency Certifications"
Blockchain Developer,Develops blockchain-based applications and smart contracts. Requires knowledge of blockchain frameworks such as Ethereum and programming languages like Solidity.,"Blockchain, Ethereum, Smart Contracts, Solidity, Cryptocurrency, Distributed Ledger, Consensus Algorithms, Web3, JavaScript, Node.js","Certified Blockchain Developer, Ethereum Developer Certification"
BUSINESS SYSTEMS ANALYST,Analyzes business needs and translates them into technical requirements. Works closely with stakeholders to improve processes and implement technology solutions.,"Business Analysis, Requirements Gathering, Process Improvement, Stakeholder Management, SQL, Data Analysis, UML, BPMN","CBAP - Certified Business Analysis Professional, PMI-PBA - PMI Professional in Business Analysis"
C# Developer,"Develops applications using C# and .NET technologies. Responsibilities include designing, coding, testing, and debugging software applications.","C#, .NET, ASP.NET, SQL Server, Web API, MVC, Entity Framework, LINQ, Git, Cloud Computing","Microsoft Certified: C# Programmer, .NET Framework Certification"
Chef InSpec Engineer,Utilizes Chef InSpec for compliance automation. Responsible for writing tests to ensure systems meet security and compliance standards.,"Chef InSpec, Compliance as Code, Automation, Security, Configuration Management, Linux, Cloud Computing","Chef InSpec Certification, HashiCorp Terraform Associate"
Cloud administrator,No description available,"Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization","CompTIA Cloud+, Cloud Security Alliance CCSK"
CLOUD ARCHITECT,Designs cloud architecture solutions to meet business requirements. Responsible for selecting appropriate cloud services and ensuring scalability/security.,"Cloud Architecture, AWS, Azure, Google Cloud, Terraform, Cloud Security, Networking, Microservices, CI/CD, Automation, Docker, Kubernetes","Google Cloud Professional Cloud Architect, AWS Certified Solutions Architect"
Cloud automation engineer,Automates cloud infrastructure management using tools like Terraform or Ansible. Focuses on deploying resources efficiently across cloud environments.,"Cloud Computing, Automation, Terraform, Ansible, Python, Scripting, CI/CD, AWS, Azure, Google Cloud","HashiCorp Terraform Associate, Azure Automation Certifications"
Cloud engineer,"Builds and maintains cloud infrastructure. Responsibilities include configuring cloud services, optimizing performance, and ensuring security compliance.","Cloud Computing, AWS, Azure, Google Cloud, Linux, Networking, Security, Automation, Scripting, Virtualization","Google Cloud Associate Cloud Engineering, CompTIA Cloud+"
Cloud network engineer,"Designs and manages networking solutions within cloud environments. Focuses on VPCs, subnets, routing configurations, and security groups.","Cloud Networking, AWS, Azure, Google Cloud, VPC, Subnets, Routing, Security Groups, Firewalls","Cisco CCNA Cloud, Cisco CCNP Cloud"
Cloud Security Engineer,"Implements security measures for cloud environments. Responsibilities include identity management, data protection, and compliance auditing.","Cloud Security, IAM, Identity and Access Management, Encryption, AWS, Azure, GCP, Vulnerability Management, Compliance","Certified Cloud Security Professional (CCSP), CompTIA Security+"
CNC Programmer,Creates CNC programs for machining operations. Responsible for interpreting blueprints and optimizing tool paths for efficiency.,"CNC Programming, G-Code, CAD/CAM, Machining, Manufacturing Processes, Blueprints, Toolpath Optimization","CNC Programming Certificate, Mastercam Certification"
Coder,Writes code in various programming languages to develop software applications. Responsibilities include debugging and maintaining code quality.,"Programming, Algorithms, Data Structures, Problem Solving, Debugging, Software Development","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
COMPUTER GRAPHICS ANIMATOR,"Creates animations using computer graphics software. Responsibilities include modeling, rigging, and rendering 3D assets.","3D Animation, 2D Animation, Motion Graphics, Adobe Creative Suite, Maya, Blender, Storyboarding, Visual Effects","Adobe Creative Suite Certifications, Maya Certifications"
Computer Hardware Engineer,"Designs and tests hardware components for computers. Responsibilities include circuit design, prototyping, and troubleshooting hardware issues.","Hardware Design, Circuit Design, Embedded Systems, Microprocessors, PCB Design, Testing, Validation","CompTIA A+, Cisco CCNA"
Computer Network Architect,Designs network infrastructures to support organizational needs. Responsible for selecting hardware/software solutions to optimize network performance.,"Network Design, Routing, Switching, Security, LAN/WAN, TCP/IP, VPN, Firewalls, Cloud Networking","Cisco CCNP Network Design, Cisco CCIE Routing and Switching"
Computer Programmer,Writes code to create software applications based on specifications. Responsibilities include debugging code and collaborating with other developers.,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++","Oracle Java Programmer Certification, Microsoft Technology Associate (MTA)"
Computer Research Scientist,Conducts research in computing fields to develop new technologies or methodologies. Publishes findings in academic journals and presents at conferences.,"Research Methods, Data Analysis, Algorithms, Machine Learning, Publications, Scientific Writing, Programming","Certified Data Scientist (CDS), IEEE Certified Artificial Intelligence Engineer"
Computer Systems Analyst,Analyzes computer systems to identify improvements in efficiency or functionality. Works closely with stakeholders to gather requirements and implement solutions.,"System Analysis, Requirements Gathering, Data Analysis, Process Improvement, UML, SQL, Stakeholder Management","Certified Business Analysis Professional (CBAP), ITIL Foundation Certification"
Confluence Engineer,"Manages Confluence as a collaboration tool within teams. Responsibilities include configuring spaces, managing permissions, and supporting documentation efforts.","Confluence, Atlassian Suite, Collaboration, Documentation, Workflow Configuration, User Management","Atlassian Confluence Certification, AgilePM Certification"
Consul Engineer,Implements service discovery solutions using HashiCorp Consul. Responsible for configuring service mesh capabilities and ensuring application connectivity.,"Consul, Service Discovery, Configuration Management, Networking, Automation, Cloud Computing","HashiCorp Certified: Consul Associate, Cloud Security Alliance CCSK"
Coverage.py Engineer,Utilizes Coverage.py for measuring code coverage in Python applications. Responsible for implementing testing strategies to improve code quality.,"Coverage.py, Python, Testing, Code Coverage, Quality Assurance, CI/CD","Python Institute Certifications, Certified Software Development Professional (CSDP)"
DATA ANALYST,"Analyzes data sets to extract insights that inform business decisions. Proficient in SQL, Excel, and data visualization tools like Tableau or Power BI.","SQL, Excel, Data Visualization, Power BI, Python, R, Statistics, Data Mining, Data Cleansing, Tableau, ETL, Data Modeling","Microsoft Certified: Data Analyst Associate, Google Data Analytics Professional Certificate"
Data Engineer,"Builds data pipelines to support analytics initiatives. Requires expertise in ETL processes, SQL databases, and big data technologies.","SQL, ETL, Data Warehousing, Python, Spark, Hadoop, Cloud Computing, Data Pipelines, Data Modeling","Google Cloud Professional Data Engineer, AWS Certified Big Data – Specialty"
DATA MODELER,Creates data models that define how data is stored within databases. Works closely with architects to ensure alignment with business requirements.,"Data Modeling, SQL, Data Warehousing, Database Design, ER Diagrams, Data Governance","IBM Certified Data Modeler, Data Management Association (DAMA) CDMP"
DATA SCIENTIST,Utilizes statistical analysis and machine learning techniques to derive insights from complex datasets. Proficient in programming languages like Python or R.,"Python, R, Machine Learning, Data Science, Statistics, SQL, Hadoop, Spark, Data Wrangling, Data Visualization, Cloud Computing","Certified Analytics Professional (CAP), Microsoft Certified: Azure Data Scientist Associate"
Database Administrator,"Responsible for managing database systems including installation, configuration, monitoring performance, backup/recovery procedures.","SQL, Database Management, MySQL, PostgreSQL, Oracle, Database Design, Performance Tuning, Backup and Recovery","Oracle Database SQL Certified Associate, Microsoft Certified: Azure Database Administrator Associate"
Datadog Engineer,Implements monitoring solutions using Datadog to track application performance metrics. Responsible for configuring alerts/dashboards.,"Datadog, Monitoring, Alerting, Metrics, Dashboards, Cloud Computing, Linux, Troubleshooting","Datadog Monitoring Certification, AWS Certified DevOps Engineer – Professional"
Developer,Writes software applications based on specifications provided by stakeholders. Collaborates with other developers on coding best practices.,"Programming, Algorithms, Data Structures, Debugging, Software Development, Python, Java, C++","CompTIA IT Fundamentals+, .NET Developer Certification"
DevOps Architect,Designs DevOps frameworks that enhance collaboration between development/operations teams while implementing CI/CD practices.,"Cloud Computing, AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Ansible, CI/CD, Automation, Security, Networking","AWS Certified Solutions Architect – Professional, Google Cloud Professional DevOps Engineer"
DevOps Engineer,Implements DevOps practices by automating software delivery processes using tools like Jenkins or GitLab CI.,"Docker, Kubernetes, CI/CD, AWS, Azure, Linux, Terraform, Ansible, Jenkins, Git, Automation, Networking, Python, Scripting, Cloud Computing","AWS Certified DevOps Engineer – Professional, Docker Certified Associate"
DEVOPS MANAGER,Oversees DevOps teams responsible for automating software delivery processes while ensuring alignment with organizational goals.,"DevOps, Team Management, Project Management, CI/CD, Cloud Computing, Automation, Communication, Leadership, Budgeting","Project Management Professional (PMP), Certified ScrumMaster (CSM)"
DevSecOps Architect,Integrates security practices into the DevOps process by designing secure CI/CD pipelines that meet compliance standards.,"DevSecOps, Cloud Security, Kubernetes, Docker, Terraform, Ansible, CI/CD, Security Automation, Vulnerability Management","Certified Information Systems Security Professional (CISSP), DevSecOps Foundation Certification"
DevSecOps Engineer,Implements security measures within the DevOps lifecycle by utilizing tools that automate security checks throughout development.,"DevSecOps, Kubernetes, Docker, Cloud Security, Penetration Testing, Continuous Security, CI/CD, AWS, Terraform, Vulnerability Scanning","Certified DevSecOps Practitioner, AWS Certified Security – Specialty"
Director of Engineering,Leads engineering teams while overseeing project management efforts across multiple initiatives within the organization.,"Team Management, Project Management, Software Development, Agile Methodologies, Budgeting, Communication, Leadership","Project Management Professional (PMP), Executive Leadership Programs"
Docker Engineer,Manages containerization solutions using Docker while ensuring efficient deployment of applications across environments.,"Docker, Containerization, Kubernetes, CI/CD, Linux, Cloud Computing, Automation, Networking","Docker Certified Associate, AWS Certified Solutions Architect"
ELK Engineer,"Implements ELK stack (Elasticsearch, Logstash, Kibana) solutions for log management/analysis while creating visualizations/dashboards.","Elasticsearch, Logstash, Kibana, Data Visualization, Log Management, Linux, AWS, Azure, Networking, Security","Elastic Certified Engineer, Elastic Stack Certification"
Embedded Software Engineer,Develops software for embedded systems by writing low-level code that interfaces directly with hardware components.,"Embedded C, RTOS, Microcontrollers, Firmware Development, Hardware Design, Communication Protocols, Testing","Certified Embedded Systems Engineer (CESE), Embedded C Programming Certification"
Entry Level Developer,Assists in developing software applications under supervision while gaining experience in coding/debugging practices.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Network Engineer,Supports network infrastructure by assisting with configuration/troubleshooting tasks while gaining hands-on experience.,"Networking, TCP/IP, Routing, Switching, Linux, Windows Server, Troubleshooting","Cisco CCNA Routing and Switching, CompTIA Network+"
Entry Level Programmer,Writes basic code under supervision while learning programming concepts/techniques through practical application.,"Programming, Algorithms, Data Structures, Python, Java, C++, Debugging","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Software Developer,Assists in developing software applications while gaining experience in coding/debugging practices under supervision.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Software Engineer,Participates in software development projects while gaining practical experience in coding/debugging under guidance.,"JavaScript, Java, Python, Git, SQL, HTML, CSS, Data Structures, Algorithms","CompTIA IT Fundamentals+, Coding Bootcamp Certificates"
Entry Level Web Developer,Assists in developing web applications while learning front-end/back-end technologies through practical experience.,"HTML, CSS, JavaScript, Git, Web Development Fundamentals, UI/UX Basics","HTML/CSS/JavaScript Certifications, Coding Bootcamp Certificates"
